run_id,document,provider,model,prompt,question,answer
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What are the class timings for ISE-536?,ISE-536 meets on Tuesdays and Thursdays from 4:00 PM to 5:50 PM.
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,Who is the instructor for the course and how can I contact them?,"The instructor is Niloufar Izadinia, and you can contact her via email at izadinia@usc.edu."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,Is there a prerequisite for enrolling in ISE-536?,"No, there are no prerequisites for enrolling in ISE-536."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What are the required texts for the course?,"The required text is 'Optimization in Operations Research' by Ronald L. Rardin. Additional references include works by Winston, Badiru and Omitaomu, Eiselt and Sandblom, and Ravindran."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How is the grading structured in this course?,"Grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What is the policy on homework submissions?,"Homework is due by midnight on Friday of the following week, and late submissions are not accepted. However, the two lowest homework scores will be dropped."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What is expected regarding class attendance and participation?,Students are expected to attend all classes and participate actively in discussions and exercises. Frequent absences will lead to a reduction in grade.
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How are the midterm and final exams structured?,"The midterm and final exams are open book and open notes, take-home assessments that must be uploaded on Brightspace. Students have until midnight the day after the exam to complete it."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What tools are required for in-class exercises?,"Students need to have laptops, desktops, or iPads to complete and submit in-class exercises, which are done in pre-assigned teams."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What is the grading scale for the course?,"The grading scale is as follows: A [95, 100], A- [90, 95), B+ [87, 90), B [84, 87), B- [80, 84), C+ [77, 80), C [74, 77), C- [70, 74), D+ [67, 70), D [64, 67), D- [60, 64), and F < 60."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How should I communicate with the instructor and TA?,"When emailing the instructor, always copy the TA and include 'ISE 536' at the beginning of your email title to ensure a prompt response."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,Can the syllabus change during the semester?,"Yes, the syllabus may be updated during the semester."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What is considered academic dishonesty?,"Academic dishonesty includes cheating, plagiarism, fabrication, collusion, and any act intended to gain an unfair academic advantage."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What are the consequences of academic misconduct?,"Consequences can include failure on the assignment, failure in the course, suspension, or even expulsion from the university."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How can students with disabilities receive accommodations?,"Students should register with the Office of Student Accessibility Services (OSAS) to determine appropriate accommodations, which will be formalized in a Letter of Accommodation (LOA) for each course."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,How can I request accommodations for my classes?,You should request accommodations as early in the semester as possible since they are not retroactive. More information can be found at osas.usc.edu.
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What mental health support services are available?,"Students can access free and confidential mental health treatment through Counseling and Mental Health at (213) 740-9355, available 24/7."
20251206_225604,syllabus.pdf,openai,gpt-4o-mini,simple,What should I do if I experience harassment or discrimination?,"You can contact the Office for Equity, Equal Opportunity, and Title IX at (213) 740-5086 for help or to report incidents of harassment or discrimination."
